Gene stable ID version	Transcript stable ID version
ENSG00000275317.4	ENST00000620484.4
ENSG00000263141.5	ENST00000574159.2
ENSG00000278656.4	ENST00000615147.4
ENSG00000262938.6	ENST00000573131.1
ENSG00000277389.1	ENST00000611731.1
ENSG00000280585.1	ENST00000625554.1
ENSG00000275513.1	ENST00000611573.1
ENSG00000274438.1	ENST00000612182.1
ENSG00000278620.3	ENST00000630519.1
ENSG00000278302.2	ENST00000626614.1
ENSG00000277848.4	ENST00000614717.1
ENSG00000275326.4	ENST00000610364.4
ENSG00000278165.3	ENST00000629053.2
ENSG00000276896.4	ENST00000615448.4
ENSG00000281618.1	ENST00000630256.1
ENSG00000281191.2	ENST00000627584.1
ENSG00000281533.1	ENST00000628787.1
ENSG00000268674.2	ENST00000601199.2
ENSG00000278856.5	ENST00000620568.4
ENSG00000277475.1	ENST00000612315.1
ENSG00000262473.5	ENST00000571089.2
ENSG00000277033.2	ENST00000621596.2
ENSG00000262911.5	ENST00000615701.1
ENSG00000275306.1	ENST00000613951.1
ENSG00000274780.2	ENST00000616346.2
ENSG00000281216.1	ENST00000629409.1
ENSG00000277445.4	ENST00000632172.1
ENSG00000276856.3	ENST00000620361.3
ENSG00000276910.4	ENST00000628423.2
ENSG00000274296.3	ENST00000613476.3
ENSG00000260873.6	ENST00000571496.2
ENSG00000277365.3	ENST00000610887.2
ENSG00000275456.1	ENST00000612573.1
ENSG00000274112.2	ENST00000615504.2
ENSG00000273651.4	ENST00000619115.1
ENSG00000275873.2	ENST00000621319.2
ENSG00000262795.5	ENST00000573079.5
ENSG00000278403.4	ENST00000622249.4
ENSG00000277278.4	ENST00000612410.1
ENSG00000275737.1	ENST00000617984.1
ENSG00000274700.1	ENST00000617112.1
ENSG00000276920.4	ENST00000616539.4
ENSG00000278481.1	ENST00000615475.1
ENSG00000262788.3	ENST00000575702.3
ENSG00000274320.2	ENST00000620574.2
ENSG00000277163.1	ENST00000614725.1
ENSG00000278086.1	ENST00000618755.1
ENSG00000282755.1	ENST00000633171.1
ENSG00000277753.3	ENST00000626170.2
ENSG00000278659.1	ENST00000612137.1
ENSG00000275754.2	ENST00000616594.2
ENSG00000275617.1	ENST00000622637.1
ENSG00000275338.4	ENST00000611004.4
ENSG00000281489.1	ENST00000626892.1
ENSG00000273508.1	ENST00000611851.1
ENSG00000277113.2	ENST00000610467.2
ENSG00000275102.2	ENST00000620813.2
ENSG00000272765.2	ENST00000605916.1
ENSG00000263160.6	ENST00000573374.5
ENSG00000275211.4	ENST00000615454.4
ENSG00000276482.3	ENST00000611005.3
ENSG00000262024.6	ENST00000574943.5
ENSG00000274042.2	ENST00000632596.1
ENSG00000277429.4	ENST00000613172.4
ENSG00000272901.5	ENST00000571525.3
ENSG00000273748.1	ENST00000612919.1
ENSG00000276230.4	ENST00000621211.2
ENSG00000276461.4	ENST00000621408.4
ENSG00000274957.1	ENST00000612783.1
ENSG00000275049.1	ENST00000610645.1
ENSG00000277540.4	ENST00000611244.3
ENSG00000273936.4	ENST00000621877.3
ENSG00000276068.4	ENST00000625431.2
ENSG00000276825.2	ENST00000611962.2
ENSG00000275571.2	ENST00000611612.2
ENSG00000282712.1	ENST00000634194.1
ENSG00000278430.4	ENST00000616354.4
ENSG00000281742.2	ENST00000628716.2
